2015-05-19 03:02:26 status half-installed libhildonwm0 1:2.0.19.debian.1-3
2015-05-19 03:02:26 status config-files libhildonwm0 1:2.0.19.debian.1-3
2015-05-19 03:02:26 purge libhildonwm0 1:2.0.19.debian.1-3 1:2.0.19.debian.1-3
2015-05-19 03:02:26 status config-files libhildonwm0 1:2.0.19.debian.1-3
2015-05-19 03:02:26 status config-files libhildonwm0 1:2.0.19.debian.1-3
2015-05-19 03:02:26 status config-files libhildonwm0 1:2.0.19.debian.1-3
2015-05-19 03:02:26 status config-files libhildonwm0 1:2.0.19.debian.1-3
2015-05-19 03:02:26 status config-files libhildonwm0 1:2.0.19.debian.1-3
2015-05-19 03:02:26 status not-installed libhildonwm0 <none>
2015-05-19 03:02:26 trigproc gnome-menus 2.30.3-1 3.2.0.1-2
2015-05-19 03:02:26 status half-configured gnome-menus 2.30.3-1
2015-05-19 03:02:27 status installed gnome-menus 2.30.3-1
2015-05-19 03:02:27 trigproc desktop-file-utils 0.15-2 0.15-2
2015-05-19 03:02:27 status half-configured desktop-file-utils 0.15-2
2015-05-19 03:02:27 status installed desktop-file-utils 0.15-2
